price ,3.931,4.029,2.007
"price, amount ",3.976,4.063,2.016
"price, amount, d1_price ",4.553,5.344,2.312
"price, amount, d1_price, d1_origin_price ",4.053,4.362,2.089
"price, amount, d1_price, d1_origin_price, p_banana_d1_price ",3.867,4.046,2.011
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, p_banana_d1_amount ",3.867,3.987,1.997
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, exchange_rate_price ",3.929,4.110,2.027
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, guava_d1_price ",3.759,3.859,1.965
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, guava_d1_price, p_banana_d1_amount ",3.815,3.854,1.963
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, guava_d1_price, week_day ",3.862,3.973,1.993
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, guava_d1_price, week_day, lunar_day_for_price ",3.816,3.907,1.977
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, week_day, lunar_day_for_price ",3.837,3.956,1.989
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, week_day, lunar_day_for_price, dx_avg_amount ",4.071,4.457,2.111
"price, amount, d1_price, d1_origin_price, p_banana_d1_price, week_day, lunar_day_for_price, dx_avg_amount, d5_avg_price ",4.546,5.149,2.269
"price, amount, d1_price, d1_origin_price, week_day, lunar_day_for_price ",3.823,4.096,2.024
"price, amount, d1_price, d1_origin_price, week_day, lunar_day_for_price, exchange_rate_price ",3.876,4.035,2.009
"price, amount, d1_price, d1_origin_price, week_day, lunar_day_for_price, t_month_price ",3.994,4.262,2.065
"price, amount, d1_price, d1_origin_price, week_day, lunar_day_for_price, p_banana_d1_price, guava_d1_price, p_banana_d1_amount ",3.898,3.951,1.988
